Customer_ID,Age,Balance,Credit_Score,Tenure,Exited,Geography
1,45,40795,715,7,0,UK
2,24,18770,763,6,0,India
3,48,21093,762,1,1,UK
4,56,141265,791,7,0,UK
5,39,110311,773,7,1,India
6,40,27569,502,9,1,UK
7,29,21190,527,1,0,UK
8,24,72824,825,2,0,India
9,55,52070,648,9,1,USA
10,25,50197,527,9,0,India
11,45,12261,809,6,0,UK
12,23,147788,564,6,0,UK
13,58,96795,520,4,0,UK
14,58,38933,751,4,1,India
15,54,145450,734,5,1,UK
16,20,50583,726,3,1,UK
17,43,122082,512,1,1,India
18,55,95371,812,1,0,USA
19,25,121032,548,7,0,USA
20,60,52604,617,1,1,UK
21,63,105074,553,1,1,India
22,50,83869,637,3,0,UK
23,39,15410,552,4,1,India
24,43,93375,543,4,1,India
25,44,106055,802,2,0,USA
26,55,147868,552,1,1,USA
27,40,96716,573,3,0,India
28,49,64245,545,4,0,UK
29,43,53056,512,3,1,USA
30,63,68557,664,8,0,UK
31,61,27543,601,1,1,USA
32,49,106038,779,2,0,USA
33,41,13828,757,7,1,UK
34,47,126656,836,4,1,USA
35,26,27087,637,8,1,USA
36,54,41337,662,3,0,UK
37,47,146554,610,6,0,USA
38,33,75333,601,9,1,USA
39,29,146535,516,1,0,USA
40,35,80448,767,1,1,UK
41,35,14648,681,8,1,India
42,50,140576,523,3,0,UK
43,61,43623,528,5,1,India
44,44,45634,670,1,0,USA
45,32,124598,727,5,1,India
46,25,59334,687,6,0,UK
47,63,78648,845,8,1,UK
48,28,32054,729,3,1,USA
49,64,80028,820,3,0,India
50,55,32207,839,9,1,USA
51,62,91554,618,4,1,USA
52,39,93276,655,4,0,UK
53,37,62781,771,7,1,India
54,62,71035,674,2,0,India
55,40,18210,603,8,1,India
56,23,54363,591,6,0,India
57,52,88279,685,3,1,USA
58,46,144393,782,9,1,USA
59,26,91348,680,5,1,UK
60,25,123816,669,8,0,USA
61,34,133053,686,7,0,USA
62,37,76262,674,8,0,UK
63,51,144832,721,7,0,UK
64,30,77411,732,3,1,UK
65,39,33377,661,2,1,USA
66,43,48211,633,7,0,USA
67,34,13744,723,3,0,UK
68,26,34995,652,3,0,UK
69,40,44542,532,2,1,UK
70,61,20651,554,4,0,USA
71,45,109239,506,8,0,USA
72,63,88931,743,1,1,India
73,33,112112,812,1,1,USA
74,56,26715,625,5,0,USA
75,40,71350,511,5,1,USA
76,37,81425,515,1,0,UK
77,24,96120,707,6,1,USA
78,22,124889,542,1,0,UK
79,42,84637,634,5,0,India
80,45,80194,727,9,0,India
81,56,86917,610,5,0,UK
82,43,74200,806,6,1,UK
83,38,115848,659,8,1,UK
84,44,116022,830,1,1,USA
85,40,70058,763,2,1,India
86,31,72068,724,9,0,UK
87,60,109932,716,3,0,USA
88,52,147103,544,6,1,India
89,23,32785,713,5,1,USA
90,61,104475,558,2,1,India
91,26,12282,631,7,1,USA
92,41,77534,603,4,1,India
93,52,84964,694,1,0,India
94,36,129006,656,4,0,USA
95,43,60583,597,6,0,UK
96,53,48392,725,7,1,India
